state,count
AK,283
AL,278
AR,1173
AZ,120
CA,870
CO,364
CT,263
DC,1
DE,33
FL,2003
GA,1484
HI,73
IA,453
ID,463
IL,926
IN,378
KS,982
KY,344
LA,571
MA,759
MD,283
ME,91
MI,473
MN,657
MO,514
MS,721
MT,350
NC,1408
ND,139
NE,163
NH,146
NJ,359
NM,327
NV,72
NY,611
OH,804
OK,1152
OR,520
PA,322
RI,33
SC,961
SD,47
TN,743
TX,3392
UT,228
VA,862
VT,62
WA,522
WI,307
WV,206
