	FIRST_IGN	STATE	year	month	day	count
541195	73	AK	2016	6	26	1
541196	73	AK	2016	6	26	1
541197	73	AK	2016	6	26	1
541198	73	AK	2016	6	26	1
541199	73	AK	2016	6	26	1
541200	73	AK	2016	6	26	1
541201	73	AK	2016	6	26	1
541202	73	AK	2016	6	26	1
541203	73	AK	2016	6	26	1
541204	73	AK	2016	6	26	1
541205	73	AK	2016	6	26	1
541206	72	AK	2016	6	28	1
541207	72	AK	2016	6	28	1
541208	72	AK	2016	6	29	1
541209	73	AK	2016	6	30	1
541210	72	AK	2016	7	6	1
541211	72	AK	2016	7	12	1
541212	72	AK	2016	7	12	1
541213	73	AK	2016	7	12	1
541214	73	AK	2016	7	12	1
541215	73	AK	2016	7	13	1
541216	73	AK	2016	7	13	1
541217	73	AK	2016	7	13	1
541218	73	AK	2016	7	13	1
541219	73	AK	2016	7	13	1
541220	73	AK	2016	7	13	1
541221	73	AK	2016	7	13	1
541222	73	AK	2016	7	13	1
541223	73	AK	2016	7	13	1
541224	73	AK	2016	7	13	1
541225	73	AK	2016	7	13	1
541226	73	AK	2016	7	13	1
541227	73	AK	2016	7	13	1
541228	73	AK	2016	7	13	1
541229	73	AK	2016	7	13	1
541230	73	AK	2016	7	13	1
541231	73	AK	2016	7	13	1
541232	73	AK	2016	7	13	1
541233	73	AK	2016	7	13	1
541234	73	AK	2016	7	13	1
541235	73	AK	2016	7	13	1
541236	73	AK	2016	7	13	1
541237	72	AK	2016	7	14	1
541238	73	AK	2016	7	14	1
541239	73	AK	2016	7	14	1
541240	73	AK	2016	7	14	1
541241	73	AK	2016	7	14	1
541242	73	AK	2016	7	14	1
541243	73	AK	2016	7	14	1
541244	73	AK	2016	7	14	1
541245	73	AK	2016	7	14	1
541246	73	AK	2016	7	14	1
541247	73	AK	2016	7	14	1
541248	73	AK	2016	7	14	1
541249	73	AK	2016	7	14	1
541250	73	AK	2016	7	14	1
541251	73	AK	2016	7	14	1
541252	73	AK	2016	7	14	1
541253	73	AK	2016	7	14	1
541254	73	AK	2016	7	14	1
541255	73	AK	2016	7	14	1
541256	73	AK	2016	7	15	1
541257	73	AK	2016	7	15	1
541258	73	AK	2016	7	15	1
541259	73	AK	2016	7	15	1
541260	73	AK	2016	7	15	1
541261	73	AK	2016	7	15	1
541262	73	AK	2016	7	15	1
541263	73	AK	2016	7	15	1
541264	73	AK	2016	7	15	1
541265	73	AK	2016	7	15	1
541266	72	AK	2016	7	15	1
541267	73	AK	2016	7	15	1
541268	73	AK	2016	7	15	1
541269	73	AK	2016	7	15	1
541270	73	AK	2016	7	16	1
541271	73	AK	2016	7	17	1
541272	73	AK	2016	7	17	1
541273	73	AK	2016	7	17	1
541274	72	AK	2016	7	18	1
541275	73	AK	2016	7	19	1
541276	73	AK	2016	7	19	1
541277	73	AK	2016	7	20	1
541278	73	AK	2016	7	21	1
541279	73	AK	2016	7	25	1
541280	72	AK	2016	7	25	1
541281	73	AK	2016	7	26	1
541282	73	AK	2016	7	28	1
541283	72	AK	2016	7	28	1
541284	72	AK	2016	7	30	1
541285	72	AK	2016	8	18	1
541286	72	AK	2016	8	18	1
541287	72	AK	2016	8	21	1
541288	72	AK	2016	8	28	1
541289	72	AK	2016	8	29	1
541290	72	AK	2016	8	30	1
541291	72	AK	2016	9	3	1
541292	72	AK	2016	9	20	1
541293	72	AK	2016	9	26	1
541294	72	AK	2016	10	12	1
541295	72	AK	2016	10	17	1
541296	72	AK	2016	10	18	1
541297	72	AK	2016	10	18	1
541298	72	AK	2016	12	1	1
541299	72	AK	2016	5	19	1
541300	72	AK	2016	6	11	1
541301	72	AK	2016	7	13	1
541302	72	AL	2016	2	28	1
541303	72	AL	2016	6	13	1
541304	72	AL	2016	6	17	1
541305	72	AL	2016	7	4	1
541306	72	AL	2016	9	5	1
541307	72	AL	2016	11	6	1
541308	72	AL	2016	11	6	1
541309	72	AL	2016	12	15	1
541310	73	AL	2016	3	9	1
541311	72	AL	2016	4	10	1
541312	72	AL	2016	4	24	1
541313	72	AL	2016	6	7	1
541314	72	AL	2016	6	10	1
541315	72	AL	2016	7	4	1
541316	72	AL	2016	7	23	1
541317	72	AL	2016	9	6	1
541318	72	AL	2016	9	25	1
541319	72	AL	2016	10	2	1
541320	72	AL	2016	10	3	1
541321	72	AL	2016	10	4	1
541322	72	AL	2016	10	8	1
541323	72	AL	2016	10	11	1
541324	72	AL	2016	10	12	1
541325	72	AL	2016	10	12	1
541326	72	AL	2016	10	20	1
541327	72	AL	2016	10	21	1
541328	72	AL	2016	10	24	1
541329	73	AL	2016	10	27	1
541330	72	AL	2016	11	8	1
541331	72	AL	2016	11	12	1
541332	72	AL	2016	11	14	1
541333	72	AL	2016	11	24	1
541334	72	AL	2016	7	3	1
541335	73	AL	2016	11	11	1
541336	73	AL	2016	12	29	1
541337	72	AL	2016	7	4	1
541338	72	AL	2016	10	9	1
541339	72	AL	2016	10	9	1
541340	73	AL	2016	5	24	1
541341	72	AL	2016	7	3	1
541342	72	AL	2016	7	4	1
541343	73	AL	2016	10	11	1
541344	73	AL	2016	10	20	1
541345	72	AL	2016	11	12	1
541346	72	AL	2016	9	28	1
541347	72	AL	2016	4	6	1
541348	72	AL	2016	4	16	1
541349	72	AL	2016	4	22	1
541350	72	AL	2016	9	24	1
541351	72	AL	2016	10	23	1
541352	73	AL	2016	11	4	1
541353	72	AL	2016	11	27	1
541354	72	AL	2016	2	20	1
541355	72	AL	2016	9	9	1
541356	73	AL	2016	10	21	1
541357	72	AL	2016	11	12	1
541358	73	AL	2016	11	14	1
541359	73	AL	2016	11	28	1
541360	72	AL	2016	2	12	1
541361	72	AL	2016	2	9	1
541362	72	AL	2016	5	28	1
541363	72	AL	2016	5	31	1
541364	72	AL	2016	10	9	1
541365	72	AL	2016	11	22	1
541366	73	AL	2016	11	24	1
541367	72	AL	2016	2	7	1
541368	72	AL	2016	3	20	1
541369	72	AL	2016	4	10	1
541370	72	AL	2016	6	23	1
541371	72	AL	2016	11	24	1
541372	72	AL	2016	11	28	1
541373	72	AL	2016	11	28	1
541374	72	AL	2016	11	28	1
541375	72	AL	2016	11	28	1
541376	72	AL	2016	11	29	1
541377	72	AL	2016	12	11	1
541378	72	AL	2016	6	7	1
541379	72	AL	2016	2	14	1
541380	72	AL	2016	9	6	1
541381	72	AL	2016	9	6	1
541382	73	AL	2016	9	9	1
541383	72	AL	2016	3	15	1
541384	72	AL	2016	6	15	1
541385	72	AL	2016	9	24	1
541386	73	AL	2016	4	5	1
541387	72	AL	2016	5	30	1
541388	72	AL	2016	7	4	1
541389	72	AL	2016	9	9	1
541390	73	AL	2016	9	28	1
541391	72	AL	2016	9	28	1
541392	73	AL	2016	10	7	1
541393	72	AL	2016	10	8	1
541394	72	AL	2016	10	9	1
541395	73	AL	2016	10	9	1
541396	72	AL	2016	10	10	1
541397	72	AL	2016	10	13	1
541398	72	AL	2016	10	23	1
541399	73	AL	2016	10	31	1
541400	73	AL	2016	11	6	1
541401	72	AL	2016	11	6	1
541402	72	AL	2016	11	9	1
541403	73	AL	2016	11	17	1
541404	72	AL	2016	11	18	1
541405	72	AL	2016	12	30	1
541406	72	AL	2016	9	27	1
541407	73	AL	2016	10	3	1
541408	73	AL	2016	4	10	1
541409	72	AL	2016	2	21	1
541410	73	AL	2016	5	2	1
541411	72	AL	2016	4	4	1
541412	72	AL	2016	5	14	1
541413	72	AL	2016	1	30	1
541414	73	AL	2016	2	7	1
541415	72	AL	2016	2	8	1
541416	72	AL	2016	2	9	1
541417	72	AL	2016	2	9	1
541418	72	AL	2016	2	13	1
541419	72	AL	2016	2	27	1
541420	72	AL	2016	3	2	1
541421	72	AL	2016	3	6	1
541422	72	AL	2016	3	9	1
541423	73	AL	2016	3	10	1
541424	73	AL	2016	3	10	1
541425	72	AL	2016	4	5	1
541426	72	AL	2016	5	14	1
541427	72	AL	2016	5	21	1
541428	72	AL	2016	5	29	1
541429	72	AL	2016	9	25	1
541430	72	AL	2016	10	13	1
541431	73	AL	2016	10	14	1
541432	72	AL	2016	10	30	1
541433	72	AL	2016	11	17	1
541434	72	AL	2016	11	25	1
541435	73	AL	2016	12	10	1
541436	72	AL	2016	2	18	1
541437	73	AL	2016	6	26	1
541438	73	AL	2016	7	4	1
541439	72	AL	2016	4	12	1
541440	72	AL	2016	6	27	1
541441	72	AL	2016	7	4	1
541442	71	AL	2016	7	13	1
541443	72	AL	2016	10	9	1
541444	72	AL	2016	11	7	1
541445	72	AL	2016	11	9	1
541446	72	AL	2016	11	19	1
541447	73	AL	2016	11	28	1
541448	72	AL	2016	12	2	1
541449	72	AL	2016	3	23	1
541450	72	AL	2016	5	7	1
541451	73	AL	2016	9	15	1
541452	73	AL	2016	10	9	1
541453	73	AL	2016	10	11	1
541454	72	AL	2016	10	21	1
541455	73	AL	2016	11	24	1
541456	72	AL	2016	11	27	1
541457	72	AL	2016	11	28	1
541458	72	AL	2016	12	10	1
541459	72	AL	2016	4	5	1
541460	72	AL	2016	4	7	1
541461	72	AL	2016	7	4	1
541462	73	AL	2016	7	21	1
541463	72	AL	2016	11	14	1
541464	72	AL	2016	11	23	1
541465	72	AL	2016	11	25	1
541466	72	AL	2016	10	15	1
541467	72	AL	2016	5	27	1
541468	73	AL	2016	7	3	1
541469	72	AL	2016	10	17	1
541470	72	AL	2016	1	18	1
541471	72	AL	2016	2	7	1
541472	72	AL	2016	5	14	1
541473	72	AL	2016	8	24	1
541474	73	AL	2016	7	7	1
541475	73	AL	2016	7	9	1
541476	72	AL	2016	2	8	1
541477	73	AL	2016	4	4	1
541478	72	AL	2016	6	26	1
541479	72	AL	2016	7	2	1
541480	72	AL	2016	4	5	1
541481	72	AL	2016	4	10	1
541482	73	AL	2016	10	9	1
541483	72	AL	2016	10	11	1
541484	72	AL	2016	11	17	1
541485	72	AL	2016	12	31	1
541486	72	AL	2016	3	6	1
541487	72	AL	2016	3	10	1
541488	72	AL	2016	6	8	1
541489	72	AL	2016	9	14	1
541490	72	AL	2016	10	7	1
541491	72	AL	2016	10	19	1
541492	72	AL	2016	10	28	1
541493	73	AL	2016	4	17	1
541494	73	AL	2016	8	7	1
541495	73	AL	2016	9	28	1
541496	72	AL	2016	10	5	1
541497	73	AL	2016	10	17	1
541498	72	AL	2016	11	7	1
541499	72	AL	2016	11	7	1
541500	73	AL	2016	11	14	1
541501	72	AL	2016	11	29	1
541502	73	AL	2016	2	14	1
541503	72	AL	2016	4	10	1
541504	72	AL	2016	10	12	1
541505	73	AL	2016	11	10	1
541506	73	AL	2016	11	14	1
541507	72	AL	2016	11	28	1
541508	73	AL	2016	7	30	1
541509	72	AL	2016	12	11	1
541510	73	AL	2016	9	22	1
541511	72	AL	2016	2	1	1
541512	72	AL	2016	2	12	1
541513	72	AL	2016	4	4	1
541514	72	AL	2016	4	10	1
541515	72	AL	2016	4	16	1
541516	72	AL	2016	6	10	1
541517	72	AL	2016	6	14	1
541518	73	AL	2016	6	25	1
541519	72	AL	2016	6	30	1
541520	72	AL	2016	7	1	1
541521	72	AL	2016	7	6	1
541522	72	AL	2016	7	7	1
541523	72	AL	2016	8	31	1
541524	72	AL	2016	9	16	1
541525	72	AL	2016	9	22	1
541526	72	AL	2016	10	1	1
541527	72	AL	2016	10	1	1
541528	72	AL	2016	10	5	1
541529	72	AL	2016	10	15	1
541530	72	AL	2016	10	28	1
541531	72	AL	2016	11	1	1
541532	72	AL	2016	11	2	1
541533	72	AL	2016	11	2	1
541534	72	AL	2016	11	4	1
541535	72	AL	2016	11	5	1
541536	72	AL	2016	11	7	1
541537	72	AL	2016	11	13	1
541538	72	AL	2016	11	14	1
541539	72	AL	2016	11	14	1
541540	72	AL	2016	12	24	1
541541	72	AL	2016	12	26	1
541542	72	AL	2016	2	7	1
541543	73	AL	2016	3	9	1
541544	72	AL	2016	3	18	1
541545	72	AL	2016	3	22	1
541546	72	AL	2016	4	21	1
541547	73	AL	2016	6	24	1
541548	73	AL	2016	7	1	1
541549	72	AL	2016	7	2	1
541550	73	AL	2016	7	2	1
541551	72	AL	2016	7	4	1
541552	72	AL	2016	7	4	1
541553	72	AL	2016	9	12	1
541554	72	AL	2016	9	15	1
541555	72	AL	2016	10	7	1
541556	72	AL	2016	10	11	1
541557	72	AL	2016	10	16	1
541558	72	AL	2016	10	30	1
541559	72	AL	2016	11	2	1
541560	72	AL	2016	11	2	1
541561	72	AL	2016	11	8	1
541562	72	AL	2016	11	13	1
541563	72	AL	2016	11	30	1
541564	72	AL	2016	12	29	1
541565	73	AL	2016	2	10	1
541566	73	AL	2016	2	11	1
541567	72	AL	2016	3	6	1
541568	73	AL	2016	3	8	1
541569	73	AL	2016	4	10	1
541570	72	AL	2016	6	30	1
541571	72	AL	2016	9	14	1
541572	72	AL	2016	9	30	1
541573	72	AL	2016	10	4	1
541574	73	AL	2016	10	25	1
541575	73	AL	2016	11	24	1
541576	72	AL	2016	12	30	1
541577	72	AL	2016	1	29	1
541578	72	AL	2016	3	15	1
541579	72	AL	2016	6	10	1
541580	72	AL	2016	11	1	1
541581	72	AL	2016	5	8	1
541582	73	AL	2016	6	12	1
541583	72	AL	2016	3	19	1
541584	73	AL	2016	10	8	1
541585	72	AL	2016	6	3	1
541586	72	AL	2016	2	1	1
541587	72	AL	2016	2	20	1
541588	72	AL	2016	7	4	1
541589	72	AL	2016	8	4	1
541590	72	AL	2016	9	25	1
541591	73	AL	2016	9	26	1
541592	72	AL	2016	10	8	1
541593	72	AL	2016	11	21	1
541594	73	AL	2016	2	14	1
541595	72	AL	2016	2	8	1
541596	72	AL	2016	2	14	1
541597	72	AL	2016	3	23	1
541598	72	AL	2016	5	5	1
541599	73	AL	2016	10	10	1
541600	72	AL	2016	11	21	1
541601	72	AL	2016	2	28	1
541602	73	AL	2016	7	10	1
541603	71	AL	2016	8	27	1
541604	72	AL	2016	11	7	1
541605	73	AL	2016	11	8	1
541606	72	AL	2016	11	28	1
541607	71	AL	2016	3	15	1
541608	72	AL	2016	9	16	1
541609	72	AL	2016	10	21	1
541610	72	AL	2016	2	8	1
541611	72	AL	2016	9	8	1
541612	72	AL	2016	10	26	1
541613	72	AL	2016	2	14	1
541614	72	AL	2016	10	9	1
541615	72	AL	2016	3	19	1
541616	72	AL	2016	4	18	1
541617	72	AL	2016	7	23	1
541618	72	AL	2016	7	25	1
541619	72	AL	2016	1	17	1
541620	72	AL	2016	3	24	1
541621	72	AL	2016	1	14	1
541622	72	AL	2016	10	8	1
541623	72	AL	2016	11	26	1
541624	72	AL	2016	6	17	1
541625	73	AL	2016	6	25	1
541626	72	AL	2016	10	22	1
541627	72	AL	2016	10	23	1
541628	73	AL	2016	10	24	1
541629	73	AL	2016	10	27	1
541630	73	AL	2016	11	11	1
541631	72	AL	2016	8	5	1
541632	72	AL	2016	7	4	1
541633	72	AL	2016	10	19	1
541634	72	AL	2016	12	23	1
541635	73	AL	2016	10	11	1
541636	72	AL	2016	11	19	1
541637	72	AL	2016	10	8	1
541638	72	AL	2016	9	20	1
541639	72	AL	2016	10	6	1
541640	72	AL	2016	10	13	1
541641	72	AL	2016	11	22	1
541642	72	AL	2016	11	23	1
541643	72	AL	2016	12	23	1
541644	72	AL	2016	6	27	1
541645	72	AL	2016	3	15	1
541646	72	AL	2016	5	20	1
541647	73	AL	2016	7	9	1
541648	72	AL	2016	8	30	1
541649	72	AL	2016	9	3	1
541650	72	AL	2016	9	15	1
541651	72	AL	2016	9	23	1
541652	72	AL	2016	9	27	1
541653	72	AL	2016	10	8	1
541654	72	AL	2016	10	10	1
541655	72	AL	2016	10	11	1
541656	72	AL	2016	11	27	1
541657	71	AL	2016	2	28	1
541658	72	AL	2016	3	15	1
541659	72	AL	2016	10	4	1
541660	72	AL	2016	10	25	1
541661	72	AL	2016	11	8	1
541662	72	AL	2016	9	6	1
541663	71	AL	2016	11	9	1
541664	72	AL	2016	12	11	1
541665	72	AL	2016	10	26	1
541666	72	AL	2016	2	7	1
541667	73	AL	2016	4	29	1
541668	72	AL	2016	6	1	1
