"","count"
"AK",361
"AL",377
"AR",1603
"AZ",142
"CA",875
"CO",447
"CT",292
"DE",40
"FL",2053
"GA",1632
"HI",57
"IA",440
"ID",616
"IL",1184
"IN",454
"KS",1721
"KY",347
"LA",774
"MA",901
"MD",303
"ME",123
"MI",872
"MN",936
"MO",849
"MS",1094
"MT",356
"NC",1783
"ND",201
"NE",249
"NH",227
"NJ",504
"NM",249
"NV",57
"NY",618
"OH",1288
"OK",1309
"OR",841
"PA",543
"RI",54
"SC",1073
"SD",80
"TN",1010
"TX",2406
"UT",211
"VA",867
"VT",87
"WA",951
"WI",654
"WV",213
"WY",7
"Total",34331
