"","count"
"AK",270
"AL",681
"AR",1745
"AZ",135
"CA",1050
"CO",746
"CT",373
"DE",44
"FL",2209
"GA",3032
"HI",148
"IA",379
"ID",403
"IL",806
"IN",300
"KS",1556
"KY",372
"LA",651
"MA",1041
"MD",319
"ME",171
"MI",684
"MN",634
"MO",707
"MS",1198
"MT",376
"NC",1610
"ND",178
"NE",241
"NH",326
"NJ",401
"NM",428
"NV",52
"NY",905
"OH",1248
"OK",1540
"OR",689
"PA",661
"RI",27
"SC",1156
"SD",95
"TN",1362
"TX",2972
"UT",305
"VA",746
"VT",89
"WA",472
"WI",401
"WV",204
"WY",140
"Total",36278
